long text,summary
issues pertaining to biology understanding biological diversity at present our planet is rich in diversity life on earth formed around 35 billion years ago the first formed organisms are believed to be heterotrophic anaerobic prokaryotes since then the evolutionary process resulted in the extensive biodiversity which exists in the biosphere now scientists assume based on their studies that there are about 10 million to over 100 million species in the world there is a dynamic relationship between the living world and the inanimate world and each and every organism has a specific role in the environment for existence of the biosphere the variety of life on earth the number of species of plants animals and microorganisms the diversity of genes in these species the different ecosystems on the earth such as deserts rainforests and coral reefs are all part of a biologically diverse earth understanding the human body and its functions when studying biology especially by studying histology and anatomy of the human body one can gain knowledge about the structure of organs this results in understanding and appreciation of the organization of the human body and understanding the functions of different organ systems and the relationship between structure and functions sustainable use and management of natural resources and environment natural resources are sources of materials and energy found naturally which are used in everyday life and for economic development these natural resources are limited on earth due to the increase of growth rate of human population overuse of natural resources is taking place it causes threat of depletion of natural resources due to over exploitation of natural resources various environmental problems arise such as environmental pollution loss of biodiversity desertification hence to overcome the above problems management of natural resources and environment should be practiced knowledge of biology is useful to bring about remedies for the above problems sustainable food production sustainable food production is the production of sufficient amounts of food for the human population using environmentally safe methods the current human population is about 7 billion and expected to be double in less than 40 years therefore for the survival of human beings sustainable food production is necessary to maintain sustainable food production following methods can be applied which are based on knowledge in biology production of high yielding varieties of plants and animals production of disease resistant varieties of plants and animals improve the postharvest technological methods understanding plant life plants are the primary producers in the world all the animals depend directly or indirectly on plants therefore understanding plant life is important as time passes the human population increases hence productivity must be increased therefore understanding plant biology is essential for producing high yielding plants disease resistant plants etc understanding diseases and causes to maintain a healthy human body one should have the knowledge of the causes of the diseases and their effects some dangerous diseases which exist in the current world are noncommunicable diseases such as cancers heart diseases diabetes chronic renal diseases and communicable diseases such as dengue aids etc cancers causes for this is not fully understood yet cancers are one of the leading causes of death aids is a viral disease which is a serious and growing health problem worldwide heart diseases this is also a serious and growing health problem worldwide causes are not fully understood yet chronic renal diseases in sri lanka recently ckdu has become a serious health problem currently scientists are working on prevention remedial measures and cures for such diseases solving some legal and ethical issues knowledge and application of biological concepts is important in solving some legal issues such as parentage testing in criminal investigations and to solve immigration disputes dna fingerprinting is used in above circumstances,biological diversity refers to the variety of life on earth encompassing species genes and ecosystems such as deserts rainforests and coral reefs life began around 35 billion years ago with biodiversity growing through evolution currently scientists estimate there are between 10 to 100 million species on earth understanding human anatomy and physiology helps reveal the structure and function of organs and systems sustainable resource management is critical due to overexploitation leading to environmental issues like pollution and biodiversity loss sustainable food production relies on biologybased methods including developing highyield and diseaseresistant crops plants as primary producers are essential for food chains making the study of plant biology crucial for improving crop yields knowledge of diseases both noncommunicable eg cancers heart diseases and communicable eg aids dengue is vital for public health biological techniques like dna fingerprinting are used in legal cases such as parentage testing and criminal investigations
in accordance with different criteria we can see a diversity among living organisms organisms are diverse based on size shape form and habitats living organisms show a wide range of variation in size shape form and habitat size bacteria1um5 um to giant sequoia giant red wood 100m shape organisms are diverse in shape eg cylindrical earth worm streamline shape birds fish form unicellular amoeba multicellular any plant or animal habitat terrestrial rat aquatic fish arboreal loris aerial birds characteristics of organisms in order to survive each organism whether simple or complex must be able to perform certain functions following features are the characteristics of organisms i order and organization from molecular level to biosphere there is an order and organization in organisms to perform their biological activities efficiently lowerlevel components are organized in a methodical pattern in upper level to make it most efficient plant leaf and human eyes ii metabolism the sum of all chemical activities taking place in an organism is its metabolism it includes catabolic reactions and anabolic reactions iii growth and development all organisms begin their life as a single cell during growth an irreversible increase in dry mass occurs which is characterized only by the living irreversible changes that occur during the life span of an organism is development growth and development are two consequent processes that happen in the life span of organisms iv irritability and coordination irritability is the ability to respond to stimuli from both internal and external environment movement of organisms occurs as a result of irritability and coordination in animals this happens as a result of coordinated efforts of nervous hormonal muscular and skeletal system v adaptation adaptation is a peculiarity of structure physiology or behavior that promotes the likelihood of an organisms survival and reproduction in a particular environment eg sunken stomata in xerophytes viviparity in some mangroves splayed out foot in camels vi reproduction ability to produce offspring for continuous existence of species vii heredity evolution organisms have genes that pass from one generation to the next and control specific physiological morphological and behavioral characters of organisms ability of organisms to change over time as a result of genetic modification is evolution many non living entities may have one or more of these characteristics but not all of them eg crystals grow waves move but only living organisms display all these characteristics simultaneously or at some point during their life cycle by considering this it can be said that these are occurring in single celled organisms as well as highly complex organisms such as humans and anthophytes flowering plants,living organisms show vast diversity in size shape form and habitat they can be as small as bacteria 15 m or as large as the giant sequoia over 100 meters shapes vary from cylindrical like earthworms to streamlined like birds organisms can be unicellular such as amoeba or multicellular like plants and animals habitats range from terrestrial rats to aquatic fish and aerial birds organisms share essential characteristics for survival order and organization biological structures from molecular to ecosystem levels are organized for efficient function metabolism the sum of all chemical reactions including catabolic and anabolic processes growth and development organisms grow by increasing in mass and develop through life changes irritability and coordination ability to respond to stimuli through coordinated systems adaptation features promoting survival like sunken stomata in xerophytes reproduction the ability to produce offspring heredity and evolution genes are passed through generations allowing evolutionary change only living organisms exhibit all these traits simultaneously
physical and chemical properties of water important for life water is a vital inorganic molecule life could not exist on this planet without water it is important due to following reasons 1 vital chemical constituent of living cell 2 provides a biological medium for all organisms physical and chemical properties of water molecule provide the ability to render the vitality water molecule is small polar and angular molecule polarity is an uneven charge distribution within a molecule in water molecule oxygen atom is slightly negative and hydrogen atom is slightly positive weak attractions between the slightly polar hydrogen atom of one water molecule and the slightly polar oxy gen atom of adjacent water molecule are known as hydrogen bonds these hydrogen bonds play a major role in maintaining all the properties of water the properties of water arise due to the hydrogen bonds between different water molecules when the water is in liquid form its h bonds are very fragile h bonds form break and reform with great frequency physical properties of water four major properties of water to maintain life on earth cohesive behavior ability to moderate temperature expansion upon freezing versatility as a solvent 1 cohesive behavior attraction between water molecules due to hydrogen bonding is known as cohesion attraction between water molecules and other substances are known as adhesion both of the above properties of water allow it to act as a transport medium due to cohesion between water molecules water and dissolved substances such as minerals are transported as a continuous column through xylem against gravity adhesion between water molecules and cell walls also helps in conduction of water and dissolved substances water has a high surface tension this ability is given to water molecules due to cohesion between the water molecules therefore in an aquatic system upper surface water molecules are attracted by lower surface molecules and it forms a water film small insects eg water skaters can walk on the surface of a pond 2 ability to moderate temperature water can absorb or release a relatively high amount of heat energy by a slight change in its own temperature due to the high specific heat water will function as thermal buffer in living system and aquatic bodies during the temperature fluctuations on earth due to the high heat of vaporization with the minimum loss of water an organism can release much heat energy this helps the organisms to cool their body surface eg prevent from overheating evaporation of sweat from human skin helps to maintain the body temperature at constant level transpiration in plants helps to cool the plant body surface and prevent from becoming too warm in the sunlight 3 expansion upon freezing generally in an increase in temperature of any substances reduces their density and on the other hand in a decrease in temperature increases their density when the temperature of water falls below 4 c it begins to freeze and forms a crystalline lattice alled ice cubes water has the maximum density at 4c hence ice floats on the surface of water bodies it is an important property of water in polar regions where organisms in aquatic bodies can survive during the winter 4 versatility as a solvent this ability is given to water due to their polarity polar molecules eg glucose ionic compounds eg nacl molecules with both polar and ionic regions eg lysozymes can dissolve in water water molecules surround each of the solute molecules and form hydrogen bonds with them therefore solubility of the solutes depends on polarity and not in their ionic nature,water is an essential molecule for life due to its unique physical and chemical properties it is a polar angular molecule with hydrogen bonds forming between water molecules these hydrogen bonds give water several vital properties cohesive behavior cohesion attraction between water molecules and adhesion attraction to other substances enable water to transport nutrients in plants and form a surface film that supports small organisms temperature moderation waters high specific heat and heat of vaporization allow it to absorb and release heat with minimal temperature changes helping organisms regulate body temperature expansion upon freezing water expands when frozen making ice less dense than liquid water which allows aquatic life to survive under ice in cold environments versatility as a solvent water dissolves polar and ionic substances due to its polarity aiding in various biological reactions these properties make water crucial for sustaining life on earth
carbohydrates most abundant group of organic compound on earth is carbohydrates major elemental composition is c h and o hydrates of carbon contain the same proportion of h o which equals to 21 as in water general formula is cho three major groups of carbohydrates are monosaccharides disaccharides and polysaccharides generally carbohydrates include sugars monosaccharides and disaccharides and polysaccharides monosaccharides the simplest form of carbohydrates having general molecular formula as cho are monosaccharide the number of c atoms varies from 37 all monosaccharide are reducing sugars water soluble and occur in crystalline form according to the number of carbon atoms they are named as 3c triose eg glyceraldehydes phosphoglyceraldehyde is a derivative of triose 4c tetroses eg erythrose rare in nature 5c pentoses eg ribose deoxyribose ribulose rubp is a derivative of ribulose 6c hexoses eg glucose fructose galactose according to the type of carbonyl keto aldo group they are classified as a aldosesglucose galactose b ketosesfructose disaccharides they are sugars formed by joining two monosaccharides by a glycosidic bond glycosidic bond is formed by removal of a water molecule from two adjacent monosaccharides by a condensation reaction water molecule is formed from oh group of one monosaccharide molecule and h from adjoining monosaccharide molecule glucose glucose maltose h0 glucose fructose sucrose h0 glucose galactose lactose h0 maltose and lactose are reducing sugars and sucrose is a nonreducing sugar polysaccharides they are macromolecules and biopolymers polysaccharides are made up of few hundred to a few thousand monosaccharide subunits they are non crystalline water insoluble and not considered as sugars some polysaccharides act as storage components where others contribute to the structure of living organisms based on their function they are categorized as storage polysaccharides and structural polysaccharides storage starch glycogen structural cellulose hemicellulose pectin based on their architecture they are categorized as linear forms cellulose amylose branched forms glycogen amylopectin hemicellulose functions of carbohydrates monosaccharides energy source building blocks of disaccharides and polysaccharides disaccharides such as maltose sucrose and polysaccharides such as starch glycogen components of nucleotides dna rna disaccharides storage sugar in milk lactose translocation in phloem sucrose storage sugar in sugarcane sucrose polysaccharides a storage polysaccharides starch stores glucose as energy source in plants and chlorophytes glycogen stores glucose as energy source in animals and fungi inulin stores fructose as energy source in dahlia tubers b structural polysaccharides cellulose in the cell walls of plants and chlorophytes pectin in the middle lamella of plant tissues hemicellulose in cell walls of plants chitin in the cell walls of fungi and in exoskeleton in arthropods,carbohydrates are the most abundant organic compounds on earth composed of carbon hydrogen and oxygen c h o in a 21 ratio of h they are classified into three major groups monosaccharides simple sugars with 37 carbon atoms such as glucose fructose and ribose they are reducing sugars watersoluble and crystalline disaccharides formed by two monosaccharides through a glycosidic bond examples include maltose sucrose and lactose maltose and lactose are reducing sugars sucrose is nonreducing polysaccharides large macromolecules like starch glycogen storage cellulose and pectin structural they are waterinsoluble and noncrystalline functions monosaccharides energy source components of nucleotides disaccharides storage sugar in milk lactose sugar translocation in plants sucrose polysaccharides energy storage starch glycogen structural support cellulose chitin carbohydrates play vital roles in energy storage structural integrity and biological processes
lipids diverse group of hydrophobic molecules large biological molecules but not considered as polymers or macromolecules consist of c h o and h0 ratio is not 21 comparatively more h than o are present biologically important types of lipids fats phospholipids and steroids fats fats are made up of glycerol and fatty acids glycerol belongs to alcohol group having 3 carbons where each of them bear single hydroxyl group fatty acids are hydrocarbon chains with long usually 1618 carbon skeleton with a carboxyl group at its one terminal fatty acid molecules bind to each hydroxyl group of glycerol by ester bond the resulting fat molecules are called as triacylglycerol triglycerides hydrocarbon chains of fatty acids contribute to the hydrophobic nature of the fats based on the nature of hydrocarbon chains of fatty acids they are categorized as a saturated fats made up of saturated fatty acids with hydrocarbon chains having no double bonds usually animal fats come under this category they are mostly solid at room temperature eg butter b unsaturated fats made up of unsaturated fatty acids with hydrocarbon chains having one or more double bonds usually plant fats come under this category they are mostly liquid in room temperature eg vegetable oils unsaturated fats are classified based on the nature of their double bonds a cisunsaturated fat b transunsaturated fat consumption of excess saturated fats and trans unsaturated fats contribute arthrosclerosis phospholipids phospholipids are major components of cell membranes they are composed of two fatty acids and one phosphate group attached to one glycerol molecule the phosphate group gives the negative electrical charge to the phospholipid molecule typically an additional polar molecule or small charged molecule is also linked to the phosphate group eg choline the two ends of the phospholipids show different behavior the hydrocarbon tails are hydrophobic while phosphate group and its attachment head are hydrophilic functions of lipids food reserve as energy source triacylglycerols such as fats and oils maintain the fluidity of plasma membrane phospholipids cholesterol act as signaling molecules eg hormones that travel through the body found as components of cell membranes phospholipids cholesterol,lipids are a diverse group of hydrophobic molecules that are important for biological functions but are not considered polymers they consist of carbon hydrogen and oxygen with a higher ratio of hydrogen to oxygen compared to carbohydrates lipids are categorized into three main types fats phospholipids and steroids fats are made of glycerol and fatty acids saturated fats solid at room temperature like butter contain no double bonds in their fatty acid chains while unsaturated fats liquid at room temperature like vegetable oils have one or more double bonds excess consumption of saturated and trans fats can lead to health issues like atherosclerosis phospholipids vital for cell membranes consist of two fatty acids and a phosphate group attached to glycerol they have hydrophobic tails and hydrophilic heads aiding membrane structure functions of lipids include energy storage fats maintaining cell membrane fluidity phospholipids cholesterol and acting as signaling molecules eg hormones
proteins are made up of amino acids twenty different amino acids are involved in the formation of proteins elemental composition is c hon and s at the center of the amino acid there is an asymmetric carbon atom except in glycine in addition to this each amino acid is composed of an amino group a carboxyl group a hydrogen atom and a variable group symbolized by r in the case of glycine r is replaced by h atom the r group also called the side chain differs with each amino acid whereas the other groups are in the back bone including the h atom amino acids may have one or more carboxyl groups and amino groups amino group has alkaline nature and carboxyl group has acidic nature when both characteristics are found in one molecule they are known as amphoteric molecules therefore amino acids are amphoteric two amino acids undergo condensation reaction by removing a water molecule and result a bond known as peptide bond oh from one amino acid and h from the other amino acid forms the water molecule protein is composed of one or more polypeptide chains which are composed of amino acids levels of protein structures there are four levels of structure which play important roles in their functions a primary structure the unique sequence of linearly arranged amino acids linked by peptide bonds is the primary structure of proteins b secondary structure the primary structure of a single polypeptide chain coils and folds as a result of intra molecular hydrogen bonds between the oxygen atoms of the carboxy groups and the hydrogen atoms of the amino groups of the same polypeptide chain backbone to form the secondary structure there are two types of secondary structures alpha helix egkeratin beta pleated sheet egspiders silk fiber b tertiary structure usually the secondary polypeptide chain bends and folds extensively forming a precise compact unique functional and threedimensional shape resulting from following interactions between the side chain rgroup of amino acids h bonds disulphide bonds tonic bonds hydrophobic interactions and van der waals interactions egmost of the enzymes myoglobin albumin c quaternary structure aggregation of two or more polypeptide chains involve in the formation of one functional protein separate chains are called protein subunits which were held together by inter and intramolecular interactions eg hemoglobin collagen denaturation of protein is the loss of specific threedimensional shape due to the alteration of weak chemical bonds and interactions agents affecting denaturation 1 high temperature and high energy radiation 2 strong acids alkaline and high concentrations of salts 3 heavy metals 4 organic solvents and detergents,proteins are composed of amino acids with 20 different types involved in their structure each amino acid contains an amino group carboxyl group hydrogen atom and a variable r group amino acids are amphoteric meaning they can behave as both acids and bases proteins form through peptide bonds created by condensation reactions between amino acids resulting in polypeptide chains proteins have four structural levels 1primary structure a linear sequence of amino acids linked by peptide bonds 2secondary structure coiling or folding of the polypeptide chain into alpha helices or beta pleated sheets due to hydrogen bonds 3tertiary structure the 3d shape formed by interactions between side chains including hydrogen bonds disulfide bonds and hydrophobic interactions 4quaternary structure aggregation of multiple polypeptide chains to form a functional protein denaturation occurs when proteins lose their shape due to agents like high temperatures strong acids or heavy metals disrupting their function
nucleic acids are polymers exist as polynucleotides made up of monomers called nucleotides they contain c h o n and p nucleic acids are macromolecules biopolymers there are two types of nucleic acids dna deoxyribo nucleic acids and rna ribonucleic acids structure of nucleotides nucleotides have 3 components namely pentose sugar nitrogenous base and a phosphate group a nucleotide without a phosphate group is called a nucleosideeg adenosine guanosine pentose sugar pentose sugars are two types namely deoxy ribose and ribose in deoxyribose one oxygen atom is less than in ribose nitrogenous bases there are two major groups of nitrogenous bases 1 purines larger in size with two rings 2 pyrimidines smaller in size with a single ring in purines there are two types namely adenine guanine in pyrimidens there are threetypes thyamine uracil and cytocine bases are commonly represented by letters a g t u and c respectively phosphate group it gives the nucleic acids the acidic nature formation of nucleic acids millions of nucleotides join by phosphodiester bond to form polynucleotide chains by condensation between the oh group of the phosphate of one nucleotide and the oh attached to 3 carbon of pentose sugar of the other these bonds result in a backbone with a repeating pattern of sugar phosphate units nucleic acids are linear polymers of nucleotides there are two kinds of nucleic acids depending on the type of the sugar molecules involved if the sugar molecule in the nucleotide is deoxyribose the nucleic acid is dna if the pentose sugar is ribose then the nucleic acid is rna dna contains adenine thymine guanine and cytosine and rna contains adenine guanine cytosine and uracil structure of dna molecule watson and crick model dna molecules have two antiparallel polynucleotide chains that spiral around an imaginary axis forming a double helix the two sugarphosphate backbones run in opposite directions from each other and the arrangement is referred to as antiparallel the sugar phosphate backbones are on the outside of the helix and the nitrogenous bases are paired in the interior of the helix the two strands are held together by hydrogen bonds between the paired nitrogen bases base pair rule always a purine base pairs with a specific pyrimidine base at 2 hydrogen bonds gc 3 hydrogen bonds functions of dna store and transmit genetic information from one generation to the next generation store the genetic information for protein synthesis structure of rna this is normally a single stranded nucleic acid composed of ribonucleotides containing bases uracil u cytosine c guanine g adenine a complementary base pairing between two rna molecules or within the same molecule may occur in some complementary base pairing facilitates three dimensional shapes essential for their functioning adenine binds with uracil with two hydrogen bonds and guanine binds with cytosine with three hydrogen bonds there are three types of rna present in cells 1 messenger rna mrna 2 transfer rna trna 3 ribosomal rna rrna 1messenger rna messenger rna is a linear molecule and is the least abundant type of rna in a cells comparatively there are two functions copies the genetic information stored in dna molecule as a sequence of nitrogenous bases transports genetic information from nucleoplasm to the site of protein synthesis ribosome through nucleopores 2 transfer rna trna smallest rna molecule linear but forms three looped structure 3 ribosomal rna it is the most abundant type of rna rrna has a complex irregular structure it provides the site where polypeptide chains are assembled differences between dna and rna 1 dna is double stranded molecule while rna is a single stranded molecule 2 dna consists of a t g and c and absence of u while rna consists of au g and c and absence of t 3 the sugar molecule in rna is ribose while in dna it is deoxyribose nucleotides other than those found in nucleic acids atp nad nadp fad functions of atp universal energy carrier functions of nad act as acoenzyme act as an electron carrier function as an oxidizing agent during respiration functions of nadp act as coenzymes act as an electron carrier nadp act as an oxidizing agent in photosynthesis functions of fad act as a coenzyme act as an electron carrier act as an oxidizing agent,nucleic acids are large biopolymers that exist as polynucleotides made up of monomers called nucleotides each nucleotide consists of three components a pentose sugar a nitrogenous base and a phosphate group there are two main types of nucleic acids dna deoxyribonucleic acid and rna ribonucleic acid dna contains the sugar deoxyribose and stores genetic information in a doublehelix structure where nitrogenous bases pair as adenine with thymine and guanine with cytosine rna contains ribose sugar and is singlestranded playing a key role in protein synthesis with three types messenger rna mrna transfer rna trna and ribosomal rna rrna nucleic acids are essential for storing and transmitting genetic information and directing the synthesis of proteins additionally nucleotides like atp nad nadp and fad function as coenzymes and electron carriers facilitating energy transfer and oxidationreduction reactions in cellular processes like respiration and photosynthesis
advancement of cytology is mostly based on the microscopy the discovery and early study of cells progressed with the invention of microscope light microscope visible light is passed through the specimen and then through glass lenses the lenses refract the light in such a way that the image of the specimen is magnified as it is projected into the eye the simplest microscope is a single lens the compound light microscope compound light microscopes are commonly used in school laboratories and it is used in medical laboratories as a diagnostic tool resolution power and magnification are important parameters which can be seen in a microscope magnification is the ratio of an objects image size to its actual size usually the maximum magnification of light microscope is 1000 times the actual size of the specimen resolution power is minimum distance between two points that can be distinguished as separate points resolution power of light microscope is 02um it is a measure of the clarity of the image magnification is limited due to the resolution light from an object specimen on the slide passes first through objective lens then produce a magnified image the total magnification is hence the product of the magnification of each lens total magnification magnification of objective lens x magnification of eye piece the electron microscope the limitation imposed upon the resolution power of the light microscope by the wavelength of light the resolution power is inversely proportional to the wavelength due to this scientists considered the use of other forms of radiations with comparatively shorter wavelengths as a result electron microscopes were developed in electron microscopy a beam of electrons is focused through the specimen or on to its surface in practice electron microscope magnifies about 5105 times with a resolution about 2 nm electron microscopes have revealed many organelles and other sub cellular structures those were impossible resolve with the light microscopes there are two types of electron microscopes 1 transmission electron microscopes tem 2 scanning electron microscopes sem transmission electron microscopes it is used to study the internal structures of cells in this microscope a beam of electrons is passed through a thin especially prepared slice of material a very thin specimen is used specimens stained with heavy metals which attach more to certain cellular structures than other areas image reflects the pattern of electrons passed through the specimen displays on a screen while electrons pass through the specimen more electrons may get displayed in regions where structures were densely stained scanning electron microscopes in this instrument a fine beam of electrons is reflected from the surface of specimen specimen is mostly coated with gold prior to observation here the specimen scatters many electrons whereas others are absorbed this instrument is ideal to observe the surface view in three dimensional appearances,the advancement of cytology has been largely driven by the development of microscopes the light microscope uses visible light to pass through specimens magnified through glass lenses a compound light microscope commonly used in schools and medical labs can magnify specimens up to 1000 times their actual size the resolution power of a light microscope is the ability to distinguish between two separate points with a limit of 02 m magnification is the product of the objective lens and eyepiece magnifications the electron microscope surpasses the limitations of light microscopes by using a beam of electrons providing much higher magnification up to 500000x and superior resolution around 2 nm there are two main types transmission electron microscope tem focuses on internal structures by passing electrons through a thin stained specimen showing detailed internal cell organization scanning electron microscope sem focuses on surface structures producing 3d images by reflecting electrons off the specimens goldcoated surface electron microscopes have revolutionized cell biology by revealing structures unseen by light microscopes
cell theory all organisms are composed of cells recall the hierarchy of life the levels of organization mentioned earlier the basic unit which can be called living is the cell which may form a single celled organism egchlamydomonas yeast or a multicellular plant or animal the cell is the basic structural and functional unit of life the level of organization of matter represented by a cell shows all the characteristics of life any stage below level of a cell cannot be considered living whether it is a single celled organism or multicellular plant or an animal robert hooke 1665 examined a cork using simple microscope and gave the term cell to describe the basic units anton van leeuwenhook 1650 a contemporary of robert hooke was the fi rst to describe and record living single celled organisms euglena bacteria matthias schleiden 1831 a botanist studying plant tissues concluded that all plants are made up of cells theodore schwann a zoologist 1839 concluded that animal tissues are also made up of cells rudolf virchow 1855 showed that all cells arise from preexisting cells by cell division schleiden schwann and virchow presented the cell theory which included the following 1all organisms are composed of one or more cells 2the basic structural and functional unit of organisms is the cell 3all cells arise from preexisting cells organization of cells there are two kinds of cellular organization prokaryotic and eukaryotic all cells share certain basic features they are all cells are bounded by a plasma membrane which is a selective barrier within the cell have a semifl uid jelly like substance which is called cytosol subcellular components are suspended within the cytosol they carry dna as genetic materials ribosomes are found in all cells the differences between prokaryotic cells and eukaryotic cells prokaryotic and eukaryotic cells differ in several key aspects prokaryotic organisms include bacteria and archaebacteria while eukaryotic organisms encompass protists fungi plants and animals prokaryotic cells are generally smaller with a diameter of 15m whereas eukaryotic cells range from 10m to 100m in diameter prokaryotes are mainly unicellular while eukaryotes are primarily multicellular although some protists and fungi can be unicellular evolutionarily prokaryotes appeared around 35 billion years ago whereas eukaryotes evolved 18 billion years ago from prokaryotes cell division in prokaryotes occurs via binary fission without mitosis or meiosis while eukaryotes divide through mitosis meiosis or both prokaryotic genetic material consists of circular dna that is free in the cytoplasm in a region called the nucleoid and is not associated with proteins in contrast eukaryotic dna is linear contained within a nucleus and associated with proteins prokaryotes have 70s ribosomes which are smaller while eukaryotes possess both 70s ribosomes in mitochondria and chloroplasts and 80s ribosomes with the latter sometimes attached to the endoplasmic reticulum prokaryotic cells have few organelles none of which are membranebound and internal membranes are sparse often associated with processes like respiration photosynthesis and nitrogen fixation eukaryotic cells on the other hand are rich in membranebound organelles including the nucleus mitochondria and chloroplasts each with double membranes as well as lysosomes and vacuoles with single membranes the cell walls of prokaryotes differ depending on the organism with bacteria having peptidoglycan while archaebacteria have polysaccharides and proteins in eukaryotes plant cells have cellulose in their cell walls while fungi have chitin and animal cells lack cell walls flagella in prokaryotes are simple lacking microtubules and exist extracellularly with a diameter of about 20nm in eukaryotes flagella are more complex with a 92 arrangement of microtubules and are intracellular with a larger diameter of 200nm prokaryotes typically rely on mesosomes for respiration while eukaryotes use mitochondria for aerobic respiration photosynthesis in prokaryotes occurs on membranes that are not stacked whereas eukaryotic cells contain chloroplasts with stacked membranes organized into lamellae or grana finally while some prokaryotes can fix nitrogen eukaryotes lack this ability,cell theory states that all organisms are composed of one or more cells the cell is the basic structural and functional unit of life and all cells arise from preexisting cells through division the theory was developed by schleiden schwann and virchow robert hooke first coined the term cell in 1665 while anton van leeuwenhoek was the first to observe living cells cells are either prokaryotic or eukaryotic prokaryotic cells eg bacteria are smaller lack a nucleus and reproduce by binary fission eukaryotic cells eg plants animals have a nucleus membranebound organelles and divide via mitosis or meiosis shared features of all cells plasma membrane cytosol jellylike fluid dna as genetic material ribosomes for protein synthesis prokaryotic cells have simpler structures and smaller ribosomes 70s while eukaryotes possess both 70s in mitochondriachloroplasts and 80s ribosomes key differences also include cell wall composition flagella structure and organelle presence
plasmamembrane is the outer limit of cytoplasm all cellular membranes resemble the ultra structure of plasma membrane in 1972 singer and nicolson put forward the fluid mosaic model of cell membrane it is mainly composed of phospholipids most abundant type of lipid in plasma membrane protein the plasma membrane has the following features it is about 7nm thick it is mainly made up of a phospholipid bilayer phospholipids are amphipathic molecules the hydrophilic heads of the phospholipids face outwards into the aqueous environment of both inside and outside of the cell the hydrophobic hydrocarbon tails face inwards and create a hydrophobic interior plasmamembrane is compared to the fluid mosaic model since phospholipid molecules are moveable they provide the fluid nature to the membrane protein molecules embedded randomly contribute to its mosaic nature some of the protein molecules penetrate all the way through the membrane called transmembrane proteins and some others penetrate only part of the way into the membrane these are called integral proteins some proteins and lipids have short branching carbohydrate chains like antennae forming glycoprotein and glycolipids respectively animals cell membrane may contain few cholesterol molecules randomly integrated into the lipid bilayer these cholesterol molecules provide flexibility and stability to the membrane by reducing membrane fluidity at moderate temperatures and prevent membrane solidification at low temperatures the two sides of the membrane may differ in composition and function functions the plasma membrane surrounds the cytoplasm of living cell physically separating the intracellular components from the extracellular environment plasma membrane is selectively permeable and able to regulate the exchange of material needed for survival proteins embedded in the plasma membrane identify the cell enabling nearby cells to communicate with each other involved in cell recognition some protein molecules act as receptor molecules for interacting with specific biochemical such as hormones neurotransmitters and immune proteins some proteins in the cell membrane attach to some cytoskeletal fibers and help to maintain the shape of the cell some proteins in the membrane act as enzymes egmicrovillus on epithelial cell lining of some parts of the gut contains digestive enzymes in their cell surface membrane,the plasma membrane the outer boundary of the cytoplasm follows the fluid mosaic model proposed by singer and nicolson in 1972 it is composed of phospholipids proteins and sometimes cholesterol the membranes phospholipid bilayer is amphipathic with hydrophilic heads facing outward and hydrophobic tails inward creating a fluid flexible structure key features include phospholipids provide fluidity to the membrane proteins randomly embedded some span the entire membrane transmembrane while others are partially embedded integral they contribute to the mosaic nature cholesterol present in animal cells stabilizes the membrane by adjusting fluidity based on temperature functions selective permeability regulates the exchange of materials cell recognition protein molecules identify the cell and enable communication receptor function proteins interact with hormones and neurotransmitters structural support proteins attach to cytoskeletal fibers enzymatic activity membranebound proteins function as enzymes eg digestive enzymes in the gut
